Code,Entity,OWID,OWID_Name,OWID_Continent,OWID_WHO_Region,OWID_WB_Region,OWID_UN_Region,WB,WB_ISO2,WB_Name,WB_region,WB_adminregion,WB_incomeLevel,WB_lendingType,WB_capitalCity,WB_longitude,WB_latitude,WEO,WEO_Country
ABW,Aruba,ABW,Aruba,North America,,Latin America and Caribbean,Latin America and Caribbean,ABW,AW,Aruba,Latin America & Caribbean ,,High income,Not classified,Oranjestad,-70.0167,12.5167,ABW,Aruba
AFE,Africa Eastern and Southern,,,,,,,AFE,ZH,Africa Eastern and Southern,Aggregates,,Aggregates,Aggregates,,,,,
AFG,Afghanistan,AFG,Afghanistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia,AFG,AF,Afghanistan,South Asia,South Asia,Low income,IDA,Kabul,69.1761,34.5228,AFG,Afghanistan
AFW,Africa Western and Central,,,,,,,AFW,ZI,Africa Western and Central,Aggregates,,Aggregates,Aggregates,,,,,
AGO,Angola,AGO,Angola,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,AGO,AO,Angola,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Luanda,13.242,-8.81155,AGO,Angola
AIA,Anguilla,AIA,Anguilla,North America,,,Latin America and Caribbean,,,,,,,,,,,,
ALA,Aland Islands,ALA,Aland Islands,Europe,,,Europe and Northern America,,,,,,,,,,,,
ALB,Albania,ALB,Albania,Europe,Europe,Europe and Central Asia,Europe and Northern America,ALB,AL,Albania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tirane,19.8172,41.3317,ALB,Albania
AND,Andorra,AND,Andorra,Europe,Europe,Europe and Central Asia,Europe and Northern America,AND,AD,Andorra,Europe & Central Asia,,High income,Not classified,Andorra la Vella,1.5218,42.5075,AND,Andorra
ANT,Netherlands Antilles,ANT,Netherlands Antilles,North America,,,,,,,,,,,,,,,
ARB,Arab World,,,,,,,ARB,1A,Arab World,Aggregates,,Aggregates,Aggregates,,,,,
ARE,United Arab Emirates,ARE,United Arab Emirates,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,ARE,AE,United Arab Emirates,Middle East & North Africa,,High income,Not classified,Abu Dhabi,54.3705,24.4764,ARE,United Arab Emirates
ARG,Argentina,ARG,Argentina,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,ARG,AR,Argentina,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Buenos Aires,-58.4173,-34.6118,ARG,Argentina
ARM,Armenia,ARM,Armenia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,ARM,AM,Armenia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Yerevan,44.509,40.1596,ARM,Armenia
ASM,American Samoa,ASM,American Samoa,Oceania,,East Asia and Pacific,Oceania,ASM,AS,American Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Not classified,Pago Pago,-170.691,-14.2846,,
ATA,Antarctica,ATA,Antarctica,Antarctica,,,,,,,,,,,,,,,
ATF,French Southern Territories,ATF,French Southern Territories,Antarctica,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,ATG,Antigua and Barbuda,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,ATG,AG,Antigua and Barbuda,Latin America & Caribbean ,,High income,IBRD,Saint John's,-61.8456,17.1175,ATG,Antigua and Barbuda
AUS,Australia,AUS,Australia,Oceania,Western Pacific,East Asia and Pacific,Oceania,AUS,AU,Australia,East Asia & Pacific,,High income,Not classified,Canberra,149.129,-35.282,AUS,Australia
AUT,Austria,AUT,Austria,Europe,Europe,Europe and Central Asia,Europe and Northern America,AUT,AT,Austria,Europe & Central Asia,,High income,Not classified,Vienna,16.3798,48.2201,AUT,Austria
AZE,Azerbaijan,AZE,Azerbaijan,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,AZE,AZ,Azerbaijan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Baku,49.8932,40.3834,AZE,Azerbaijan
BDI,Burundi,BDI,Burundi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BDI,BI,Burundi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bujumbura,29.3639,-3.3784,BDI,Burundi
BEA,East Asia & Pacific (IBRD-only countries),,,,,,,BEA,B4,East Asia & Pacific (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,
BEC,Europe & Central Asia (IBRD-only countries),,,,,,,BEC,B7,Europe & Central Asia (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,
BEL,Belgium,BEL,Belgium,Europe,Europe,Europe and Central Asia,Europe and Northern America,BEL,BE,Belgium,Europe & Central Asia,,High income,Not classified,Brussels,4.36761,50.8371,BEL,Belgium
BEN,Benin,BEN,Benin,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BEN,BJ,Benin,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Porto-Novo,2.6323,6.4779,BEN,Benin
BES,Bonaire Sint Eustatius and Saba,BES,Bonaire Sint Eustatius and Saba,North America,,,Latin America and Caribbean,,,,,,,,,,,,
BFA,Burkina Faso,BFA,Burkina Faso,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BFA,BF,Burkina Faso,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,BFA,Burkina Faso
BGD,Bangladesh,BGD,Bangladesh,Asia,South-East Asia,South Asia,Central and Southern Asia,BGD,BD,Bangladesh,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,BGD,Bangladesh
BGR,Bulgaria,BGR,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America,BGR,BG,Bulgaria,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,BGR,Bulgaria
BHI,IBRD countries classified as high income,,,,,,,BHI,B1,IBRD countries classified as high income,Aggregates,,Aggregates,Aggregates,,,,,
BHR,Bahrain,BHR,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,BHR,Bahrain
BHS,Bahamas,BHS,Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BHS,BS,"Bahamas, The",Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,BHS,The Bahamas
BIH,Bosnia and Herzegovina,BIH,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America,BIH,BA,Bosnia and Herzegovina,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,BIH,Bosnia and Herzegovina
BLA,Latin America & the Caribbean (IBRD-only countries),,,,,,,BLA,B2,Latin America & the Caribbean (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,
BLM,Saint BarthÃƒÂ©lemy,BLM,Saint BarthÃƒÂ©lemy,North America,,,,,,,,,,,,,,,
BLR,Belarus,BLR,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America,BLR,BY,Belarus,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,BLR,Belarus
BLZ,Belize,BLZ,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BLZ,BZ,Belize,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,Belmopan,-88.7713,17.2534,BLZ,Belize
BMN,Middle East & North Africa (IBRD-only countries),,,,,,,BMN,B3,Middle East & North Africa (IBRD-only countries),Aggregates,,Aggregates,Aggregates,,,,,
BMU,Bermuda,BMU,Bermuda,North America,,North America,Europe and Northern America,BMU,BM,Bermuda,North America,,High income,Not classified,Hamilton,-64.706,32.3293,,
